authorId,name,Affiliations,Affiliation_type
72254820,Rushang Karia,Costco Wholesale,company
51479145,Shailaja Keyur Sampat,The University of Hong Kong,university
1380075136,Savan Doshi,Johnson & Johnson,company
2112127876,S. Mishra,Valero Energy,company
2150098899,Sujan Reddy,"University of California, Berkeley (UCB)",university
19255781,Sumanta Patro,Marathon Petroleum,company
2126503480,Tanay Dixit,The University of Tokyo,university
2144058688,Xudong Shen,Seoul National University,university
2064619864,Chitta Baral,King's College London,university
1699545,Yejin Choi,Phillips 66,company
144365875,Noah A. Smith,Target,company
2548384,Hannaneh Hajishirzi,Université PSL,university
1783281,Daniel Khashabi,Massachusetts Institute of Technology (MIT) ,university
2114887261,Shangbin Feng,California Institute of Technology (Caltech),university
50487261,Chan Young Park,The University of Sydney,university
2169159066,Yuhan Liu,National University of Singapore (NUS),university
2073587169,Yulia Tsvetkov,Cigna,company
1443788809,Arkil Patel,Cornell University,university
92954142,S. Bhattamishra,Apple,company
144260125,Navin Goyal,The Australian National University,university
78846919,Marco Tulio Ribeiro,Peking University,university
35232494,Tongshuang Sherry Wu,The University of Melbourne,university
1730156,Carlos Guestrin,Microsoft,company
34650964,Sameer Singh,Monash University,university
2120664,Bishal Lamichhane,The University of Sydney,university
152913678,Steven Y. Feng,Kroger,company
3375999,Varun Gangal,University of Oxford,university
144026731,Jason Wei,Fudan University,university
123607932,Sarath Chandar,Lowe's,company
1918441,Soroush Vosoughi,Apple,company
1706595,T. Mitamura,The University of Manchester,university
144547315,E. Hovy,Costco Wholesale,company
6117577,Ian Tenney,Monash University,university
143790066,Dipanjan Das,Northwestern University,university
2949185,Ellie Pavlick,Columbia University,university
104406084,Adam Zaremba,"Nanyang Technological University, Singapore (NTU)",university
16775568,Ender Demir,Seoul National University,university
3422038,Su Lin Blodgett,Monash University,university
2881033,Solon Barocas,Wells Fargo,company
2065041692,Hal Daum'e,Costco Wholesale,company
1831395,Hanna M. Wallach,The University of Melbourne,university
153769695,John X. Morris,FedEx,company
1453652787,Eli Lifland,Cardinal Health,company
1693182792,Jin Yong Yoo,PepsiCo Beverages,company
1829303908,J. Grigsby,The University of Sydney,university
2068347799,Di Jin,Massachusetts Institute of Technology (MIT) ,university
121817403,Yanjun Qi,The University of Edinburgh,university
47070483,Pratik M. Joshi,Home Depot,company
50074956,Sebastin Santy,Berkshire Hathaway,company
2410839,A. Budhiraja,FedEx,company
3086996,Kalika Bali,Dell Technologies,company
143990839,M. Choudhury,Tsinghua University,university
41016275,Alon Jacovi,Archer Daniels Midland,company
79775260,Yoav Goldberg,Institut Polytechnique de Paris,university
41052836,Anya Belz,Institut Polytechnique de Paris,university
2122535749,Craig Thomson,ETH Zurich - Swiss Federal Institute of Technology,university
2113922820,Ehud Reiter,University of British Columbia,university
17038002,Gavin Abercrombie,The University of Edinburgh,university
2151319597,J. Alonso-Moral,University of British Columbia,university
9364658,Mohammad Arvan,University of Toronto,university
3159752,J. Cheung,Procter & Gamble,company
2648584,Mark Cieliebak,Northwestern University,university
40684993,Elizabeth Clark,Cardinal Health,company
10708829,K. V. Deemter,JPMorgan Chase,company
72115354,Tanvi Dinkar,National University of Singapore (NUS),university
2544049,Ondrej Dusek,Peking University,university
2620186,Steffen Eger,Apple,company
1720986506,Qixiang Fang,Marathon Petroleum,company
1700894,Albert Gatt,Chevron,company
2921637,Dimitra Gkatzia,University of Oxford,university
2215866480,Javier Gonz'alez-Corbelle,The University of Queensland,university
2022288,Dirk Hovy,Massachusetts Institute of Technology (MIT) ,university
2165661802,Manuela Hurlimann,Phillips 66,company
119804885,Takumi Ito,The University of Melbourne,university
1380281888,John D. Kelleher,Marathon Petroleum,company
3201315,Filip Klubicka,California Institute of Technology (Caltech),university
66376493,Huiyuan Lai,Intel,company
50521235,Chris van der Lee,King's College London,university
3192572,Emiel van Miltenburg,Costco Wholesale,company
2142159995,Yiru Li,Meta Platforms,company
2221260,Saad Mahamood,Wells Fargo,company
2921990,Margot Mieskes,Valero Energy,company
2742475,M. Nissim,Johnson & Johnson,company
2326758,Natalie Parde,Target,company
2201327940,Ondvrej Pl'atek,Valero Energy,company
1681799,Verena Rieser,UPS,company
2150388522,Pablo Romero,The Chinese University of Hong Kong (CUHK),university
2086973507,Joel Tetreault,Princeton University,university
2065048323,Antonio Toral,Elevance Health,company
9714242,Xiao-Yi Wan,University of Cambridge,university
9092408,L. Wanner,Cornell University,university
145148787,Lewis J. Watson,Walgreens Boots Alliance,company
2143919864,Diyi Yang,"University of California, Los Angeles (UCLA)",university
151207081,Shreyansh Goyal,Berkshire Hathaway,company
2072738714,Sumanth Doddapaneni,UCL,university
2361078,Mitesh M. Khapra,University of Oxford,university
2059566473,B. Ravindran,"University of California, Los Angeles (UCLA)",university
144112155,O. Khattab,Walgreens Boots Alliance,company
50818255,Keshav Santhanam,The University of Hong Kong,university
32551341,Xiang Lisa Li,EPFL,university
145385471,David Leo Wright Hall,UnitedHealth Group,company
145419642,Percy Liang,Stanford University,university
144922861,Christopher Potts,ETH Zurich - Swiss Federal Institute of Technology,university
143834867,M. Zaharia,UnitedHealth Group,company
1743722,Douwe Kiela,Meta Platforms,company
153408953,Max Bartolo,California Institute of Technology (Caltech),university
40383658,Yixin Nie,Wells Fargo,company
9264826,Divyansh Kaushik,Walgreens Boots Alliance,company
80833908,Atticus Geiger,University of Toronto,university
47039337,Zhengxuan Wu,Pfizer,company
2737827,Bertie Vidgen,Elevance Health,company
119869488,Grusha Prasad,IBM,company
1422035486,Pratik Ringshia,The University of Hong Kong,university
1736107,Zhiyi Ma,University of Michigan-Ann Arbor,university
1500242049,Tristan Thrush,Dell Technologies,company
48662861,Sebastian Riedel,ExxonMobil,company
2138053020,Zeerak Talat,Ford Motor,company
1918552,Pontus Stenetorp,Yale University,university
3422908,Robin Jia,Université PSL,university
143977268,Mohit Bansal,Cigna,company
144922861,Christopher Potts,The University of Tokyo,university
2110032535,Adina Williams,Marathon Petroleum,company
48727916,Jay DeYoung,The London School of Economics and Political Science (LSE),university
49837811,Sarthak Jain,AmerisourceBergen,company
8937909,Nazneen Rajani,Meta Platforms,company
51172373,Eric P. Lehman,University of Oxford,university
2228109,Caiming Xiong,Monash University,university
2166511,R. Socher,Cardinal Health,company
1912476,Byron C. Wallace,Walgreens Boots Alliance,company
8129718,Alham Fikri Aji,Institut Polytechnique de Paris,university
9162688,Genta Indra Winata,Humana,company
2789148,Fajri Koto,The University of Tokyo,university
66986482,Samuel Cahyawijaya,Pfizer,company
2279712392,Ade Romadhony,Comcast,company
1935324,Rahmad Mahendra,Kyoto University,university
46199596,Kemal Kurniawan,Massachusetts Institute of Technology (MIT) ,university
35722593,David Moeljadi,Zhejiang University,university
2368148,Radityo Eko Prasojo,Wells Fargo,company
145465286,Timothy Baldwin,ExxonMobil,company
1800564,Jey Han Lau,PepsiCo Beverages,company
2124014463,Sebastian Ruder,Harvard University,university
2064295987,Daniel Hershcovich,The Chinese University of Hong Kong (CUHK),university
37922370,Stella Frank,University of British Columbia,university
49568895,Heather Lent,Citigroup,company
3295381,Miryam de Lhoneux,"University of California, Los Angeles (UCLA)",university
30671790,Mostafa Abdou,Valero Energy,company
6547490,Stephanie Brandl,IBM,company
83574123,Emanuele Bugliarello,Seoul National University,university
2093582149,Laura Cabello Piqueras,Bank of America,company
2125376289,Ilias Chalkidis,Technical University of Munich,university
1717462692,Ruixiang Cui,UPS,company
50110151,Constanza Fierro,Procter & Gamble,company
82259306,Katerina Margatina,Verizon Communications,company
1660797358,Phillip Rust,Technical University of Munich,university
1700187,Anders Søgaard,The University of Sydney,university
2403712,A. Akbik,University of Cambridge,university
2077245166,Tanja Bergmann,Imperial College London,university
2725328,Duncan A. J. Blythe,Université PSL,university
4565995,Kashif Rasul,Archer Daniels Midland,company
134757625,Stefan Schweter,Technical University of Munich,university
2742129,Roland Vollgraf,Pfizer,company
32246932,Timo Schick,Microsoft,company
40941940,Sahana Udupa,Walgreens Boots Alliance,company
144418438,Hinrich Schütze,Monash University,university
3449411,Dieuwke Hupkes,McGill University,university
24068173,Mario Giulianelli,Imperial College London,university
74461595,Verna Dankers,AmerisourceBergen,company
2347956,Mikel Artetxe,Stanford University,university
51131518,Yanai Elazar,"Nanyang Technological University, Singapore (NTU)",university
1388571351,Tiago Pimentel,Valero Energy,company
2718039,Christos Christodoulopoulos,"University of California, Berkeley (UCB)",university
51121444,Karim Lasri,The University of Hong Kong,university
2362960,Naomi Saphra,Humana,company
153915609,Arabella J. Sinclair,Microsoft,company
133864309,Dennis Ulmer,Université PSL,university
2187058204,Florian Schottmann,McGill University,university
2049136,Khuyagbaatar Batsuren,Home Depot,company
2087314342,Kaiser Sun,Lowe's,company
40910779,Koustuv Sinha,State Farm Insurance,company
50824937,Leila Khalatbari,UCL,university
1410648718,Maria Ryskina,Ford Motor,company
1397300094,Rita Frieske,Home Depot,company
2070989574,Ryan Cotterell,Walgreens Boots Alliance,company
2111472502,Zhijing Jin,Meta Platforms,company
78846919,Marco Tulio Ribeiro,The Australian National University,university
23451726,Scott M. Lundberg,The University of Sydney,university
2007064152,Yingqi Liu,The University of Hong Kong,university
2052467415,Guangyu Shen,McGill University,university
48927894,Guanhong Tao,University of Michigan-Ann Arbor,university
2072528961,Shengwei An,Valero Energy,company
2026855,Shiqing Ma,Fudan University,university
1771551,X. Zhang,Massachusetts Institute of Technology (MIT) ,university
145217343,Eric Wallace,The University of Hong Kong,university
2113511266,Shi Feng,Phillips 66,company
1380266797,Nikhil Kandpal,Wells Fargo,company
40642935,Matt Gardner,Berkshire Hathaway,company
34650964,Sameer Singh,The University of Melbourne,university
1416319999,C. Carrino,Humana,company
2165226605,Joan Llop,National University of Singapore (NUS),university
1850527789,Marc Pàmies,University of Cambridge,university
2078772072,Asier Gutiérrez-Fandiño,Imperial College London,university
1405319696,Jordi Armengol-Estap'e,Intel,company
2119543279,Joaquín Silveira-Ocampo,McGill University,university
2168853963,A. Valencia,Northwestern University,university
1403836100,Aitor Gonzalez-Agirre,Walgreens Boots Alliance,company
2066499928,Marta Villegas,"University of California, Los Angeles (UCLA)",university
2109404730,Yulong Chen,Archer Daniels Midland,company
39798499,Yang Liu,Fudan University,university
2152290059,Li Dong,The University of Hong Kong,university
2992833,Shuohang Wang,Delft University of Technology,university
8652308,Chenguang Zhu,Zhejiang University,university
48262024,Michael Zeng,Valero Energy,company
2145913600,Yue Zhang,Home Depot,company
2149798086,Rebecca Qian,National University of Singapore (NUS),university
51519704,Candace Ross,General Motors,company
2166312768,Jude Fernandes,Ford Motor,company
51324296,Eric Michael Smith,"Nanyang Technological University, Singapore (NTU)",university
2111313627,Douwe Kiela,UCL,university
2110032535,Adina Williams,"Nanyang Technological University, Singapore (NTU)",university
145874489,Hamed Jelodar,The University of Queensland,university
2107962574,Yongli Wang,The University of New South Wales (UNSW Sydney),university
2181308,Rita Orji,UnitedHealth Group,company
50178505,Shucheng Huang,Costco Wholesale,company
39819114,Siddharth Nath,Yale University,university
2164300110,Abdullah Marie,The University of Queensland,university
2090354013,S. Ellershaw,The University of Melbourne,university
65739018,Edward Korot,FedEx,company
5638585,P. Keane,Delft University of Technology,university
51236664,Hannah Devinney,Johns Hopkins University,university
52604880,Jenny Björklund,The Australian National University,university
2077434671,H. Björklund,Monash University,university
38614754,Julian Michael,Comcast,company
14487640,Ari Holtzman,Verizon Communications,company
119389860,Alicia Parrish,King's College London,university
49355602,Aaron Mueller,UPS,company
144906624,Alex Wang,University of Toronto,university
13336152,Angelica Chen,Zhejiang University,university
93811144,Divyam Madaan,The University of New South Wales (UNSW Sydney),university
10666396,Nikita Nangia,The University of New South Wales (UNSW Sydney),university
46230016,Richard Yuanzhe Pang,Kyoto University,university
80842917,Jason Phang,Meta Platforms,company
1799822,Sam Bowman,Microsoft,company
1557391091,Qinyuan Ye,University of Chicago,university
51583409,Bill Yuchen Lin,AT&T,company
145201124,Xiang Ren,Wells Fargo,company
2845020,Xiaoya Li,University of Oxford,university
2109329406,Xiaofei Sun,Microsoft,company
65844131,Yuxian Meng,Massachusetts Institute of Technology (MIT) ,university
2115780454,Junjun Liang,University of Michigan-Ann Arbor,university
144894837,Fei Wu,Meta Platforms,company
49298465,Jiwei Li,Fannie Mae,company
80621550,Shaily Bhatt,EPFL,university
50991767,Sunipa Dev,University of Pennsylvania,university
2406435,Partha P. Talukdar,Microsoft,company
2160404,Shachi Dave,CVS Health,company
3331141,Vinodkumar Prabhakaran,Zhejiang University,university
9051130,John P. Lalor,"University of California, Berkeley (UCB)",university
2143685866,Yi Yang,Ford Motor,company
2152595932,Kendall Smith,AT&T,company
3047212,Nicole Forsgren,"University of California, Los Angeles (UCLA)",university
144849629,A. Abbasi,Technical University of Munich,university
1786389,E. Mosca,Columbia University,university
2178446,F. Szigeti,University of Cambridge,university
2187454523,Stella Tragianni,"Nanyang Technological University, Singapore (NTU)",university
2187454784,Daniel Gallagher,Wells Fargo,company
146800020,G. Groh,Monash University,university
1904906987,Qing Lyu,The University of Manchester,university
2817917,Marianna Apidianaki,Technical University of Munich,university
1763608,Chris Callison-Burch,McGill University,university
152446182,Andreas Madsen,University of Chicago,university
145732771,Siva Reddy,Microsoft,company
144631588,A. Chandar,State Farm Insurance,company
145046059,Anna Rogers,University of Cambridge,university
40642935,Matt Gardner,Costco Wholesale,company
1736067,Isabelle Augenstein,McGill University,university
144508458,Da Yin,Meta Platforms,company
145307652,Li Dong,UPS,company
47413820,Hao Cheng,Bank of America,company
46522098,Xiaodong Liu,UCL,university
2782886,Kai-Wei Chang,Lowe's,company
49807919,Furu Wei,Massachusetts Institute of Technology (MIT) ,university
48441311,Jianfeng Gao,University of Chicago,university
48578729,Venkatesh Shankar,General Electric,company
2157384856,Sohil Parsana,Intel,company
151207081,Shreyansh Goyal,Imperial College London,university
2072738714,Sumanth Doddapaneni,Target,company
2158819331,Mitesh M.Khapra,Marathon Petroleum,company
2059566473,B. Ravindran,University of Chicago,university
41052836,Anya Belz,Meta Platforms,company
2162189986,Maja Popovi'c,FedEx,company
2738095,Simon Mille,The University of Edinburgh,university
3422872,Dan Hendrycks,Intel,company
90909974,Collin Burns,"University of California, Berkeley (UCB)",university
2111074131,Anya Chen,FedEx,company
2052356393,Spencer Ball,Valero Energy,company
78846919,Marco Tulio Ribeiro,CVS Health,company
34650964,Sameer Singh,Walmart,company
1730156,Carlos Guestrin,McKesson,company
1822288,Karan Goel,General Electric,company
8937909,Nazneen Rajani,Kroger,company
2056908,Jesse Vig,Wells Fargo,company
145814654,Samson Tan,Cardinal Health,company
2120253018,Jason M. Wu,Université PSL,university
3393918,Stephan Zheng,University of Cambridge,university
2228109,Caiming Xiong,Walgreens Boots Alliance,company
143977268,Mohit Bansal,New York University (NYU),university
2061444681,Christopher R'e,Apple,company
2715774,Dan Ofer,Home Depot,company
6822067,Nadav Brandes,Delft University of Technology,university
32427977,M. Linial,ExxonMobil,company
2064295987,Daniel Hershcovich,Monash University,university
2023644816,Nicolas Webersinke,University of Toronto,university
2156865999,Mathias Kraus,MetLife,company
2006205621,J. Bingler,University of Cambridge,university
3073566,Markus Leippold,University of Oxford,university
2088548557,Ismael Garrido-Muñoz,The University of New South Wales (UNSW Sydney),university
1405764003,A. Montejo-Ráez,Procter & Gamble,company
1403976340,F. Martínez-Santiago,The Chinese University of Hong Kong (CUHK),university
1405764024,Alfonso Ureña-López,Columbia University,university
2120801160,Wenkai Yang,The University of Tokyo,university
49192881,Lei Li,National University of Singapore (NUS),university
50317060,Zhiyuan Zhang,Peking University,university
19169659,Xuancheng Ren,McKesson,company
11774802,Xu Sun,Centene,company
1631386300,Bin He,Chevron,company
145217343,Eric Wallace,Pfizer,company
145914976,Tony Zhao,The University of New South Wales (UNSW Sydney),university
144588144,Shi Feng,Target,company
34650964,Sameer Singh,JPMorgan Chase,company
49889487,Yuhao Zhang,The Chinese University of Hong Kong (CUHK),university
49889860,Yuhui Zhang,Lowe's,company
50531624,Peng Qi,Northwestern University,university
144783904,Christopher D. Manning,Columbia University,university
2356307,C. Langlotz,Cigna,company
3077104,G. Moreira,Valero Energy,company
83517571,Sara Rabhi,Université PSL,university
2146040755,Jeongmin Lee,The University of Manchester,university
2050446873,R. Ak,Archer Daniels Midland,company
79722739,Even Oldridge,UPS,company
47739850,Jiaao Chen,National University of Singapore (NUS),university
1390031652,Derek Tam,Cardinal Health,company
2402716,Colin Raffel,General Electric,company
143977268,Mohit Bansal,Johns Hopkins University,university
2143919864,Diyi Yang,Zhejiang University,university
2429723,Zenun Kastrati,Institut Polytechnique de Paris,university
2035596,F. Dalipi,Ford Motor,company
89182458,Krenare Pireva Nuçi,Verizon Communications,company
15971377,M. A. Wani,University of Chicago,university
1524732527,Xuezhi Wang,Delft University of Technology,university
49528192,Haohan Wang,ETH Zurich - Swiss Federal Institute of Technology,university
2143919864,Diyi Yang,Tsinghua University,university
1708726,I. Tetko,Ford Motor,company
1399383114,Pavel Karpov,Princeton University,university
39976976,Ruud Van Deursen,Wells Fargo,company
47373104,G. Godin,Centene,company
2789148,Fajri Koto,Wells Fargo,company
2953039,Afshin Rahimi,Home Depot,company
1800564,Jey Han Lau,Verizon Communications,company
145465286,Timothy Baldwin,Fudan University,university
2083807,B. Hutchinson,University of Pennsylvania,university
3331141,Vinodkumar Prabhakaran,Fannie Mae,company
40081727,Emily L. Denton,University of Pennsylvania,university
20825661,Kellie Webster,"Nanyang Technological University, Singapore (NTU)",university
2112887022,Yu Zhong,IBM,company
1667883461,Stephen Denuyl,IBM,company
2699105,Jonathan Bragg,Cardinal Health,company
2527954,Arman Cohan,The University of New South Wales (UNSW Sydney),university
46258841,Kyle Lo,"University of California, Berkeley (UCB)",university
46181066,Iz Beltagy,Princeton University,university
1723636206,Alan Ramponi,General Electric,company
2022124,Barbara Plank,Procter & Gamble,company
1693182792,Jin Yong Yoo,Home Depot,company
121817403,Yanjun Qi,Intel,company
49713890,Anjalie Field,The University of Tokyo,university
3422038,Su Lin Blodgett,Comcast,company
2138053020,Zeerak Talat,Valero Energy,company
145317727,Yulia Tsvetkov,AT&T,company
37574242,Avijit Thawani,Columbia University,university
2634786,J. Pujara,Institut Polytechnique de Paris,university
144171096,Pedro A. Szekely,UPS,company
2512264,Filip Ilievski,Fudan University,university
27689253,Sabrina J. Mielke,Delft University of Technology,university
25098419,Zaid Alyafeai,Fannie Mae,company
3448427,Elizabeth Salesky,California Institute of Technology (Caltech),university
2402716,Colin Raffel,Bank of America,company
1879591269,Manan Dey,Walgreens Boots Alliance,company
2907260,Matthias Gallé,Costco Wholesale,company
2048082186,Arun Raja,IBM,company
152358188,Chenglei Si,Johnson & Johnson,company
2183377987,Wilson Y. Lee,The University of Tokyo,university
68990982,Benoît Sagot,CVS Health,company
145814654,Samson Tan,University of Michigan-Ann Arbor,university
103441820,N. Boucher,Amazon,company
47473421,Ilia Shumailov,University of British Columbia,university
40171469,Ross Anderson,Monash University,university
1967156,Nicolas Papernot,"University of California, Los Angeles (UCLA)",university
51125639,Haoxiang Zhong,The University of Sydney,university
51131083,Chaojun Xiao,Procter & Gamble,company
2652217,Cunchao Tu,University of Michigan-Ann Arbor,university
145086110,T. Zhang,UCL,university
49293587,Zhiyuan Liu,University of British Columbia,university
1753344,Maosong Sun,California Institute of Technology (Caltech),university
35437368,Andrea Zanelli,Peking University,university
2057413,A. Domahidi,University of Toronto,university
30521589,J. Jerez,Alphabet,company
144746954,M. Morari,CVS Health,company
3074811,Or Sharir,Delft University of Technology,university
2064067229,Barak Peleg,The University of Queensland,university
1701353,Y. Shoham,The University of New South Wales (UNSW Sydney),university
2120801160,Wenkai Yang,"University of California, Berkeley (UCB)",university
2149202150,Yankai Lin,Wells Fargo,company
50492525,Peng Li,UnitedHealth Group,company
2108485106,Jie Zhou,Chevron,company
2130282986,Xu Sun,California Institute of Technology (Caltech),university
147783277,Paula Czarnowska,ExxonMobil,company
2065005,Yogarshi Vyas,University of Michigan-Ann Arbor,university
39888194,Kashif Shah,UCL,university
2110042101,Yue Kang,Columbia University,university
2113440494,Zhao Cai,Massachusetts Institute of Technology (MIT) ,university
33593082,Chee‐Wee Tan,FedEx,company
144158674,Qian Huang,"Nanyang Technological University, Singapore (NTU)",university
2748728,Hefu Liu,Fudan University,university
8804828,M. Schlichtkrull,Cornell University,university
41019080,Nicola De Cao,Alphabet,company
144889265,Ivan Titov,Johnson & Johnson,company
6117577,Ian Tenney,Peking University,university
49556437,James Wexler,Pfizer,company
1994065972,Jasmijn Bastings,Phillips 66,company
2843215,Tolga Bolukbasi,Marathon Petroleum,company
1388485917,Andy Coenen,Stanford University,university
3159346,Sebastian Gehrmann,The University of New South Wales (UNSW Sydney),university
122064392,Ellen Jiang,Intel,company
51478016,Mahima Pushkarna,"University of California, Berkeley (UCB)",university
146419516,Carey Radebaugh,Chevron,company
49849144,Emily Reif,University of Cambridge,university
2061016887,Ann Yuan,EPFL,university
5781518,Kangjie Chen,JPMorgan Chase,company
65844131,Yuxian Meng,Microsoft,company
2109329406,Xiaofei Sun,AT&T,company
16042895,Shangwei Guo,Institut Polytechnique de Paris,university
2146331573,Tianwei Zhang,Ford Motor,company
49298465,Jiwei Li,Seoul National University,university
2093474992,Chun Fan,California Institute of Technology (Caltech),university
2111538614,Hyunjin Choi,Dell Technologies,company
2125022424,Judong Kim,Microsoft,company
2046999993,Seongho Joe,Kyoto University,university
2163133,Youngjune Gwon,The Australian National University,university
1380557800,Boaz Shmueli,Monash University,university
115300694,Jan Fell,University of Cambridge,university
2072404217,Soumya Ray,JPMorgan Chase,company
1746959,Lun-Wei Ku,McKesson,company
145217343,Eric Wallace,Comcast,company
1705260,Yizhong Wang,Imperial College London,university
48831399,Sujian Li,Chevron,company
34650964,Sameer Singh,Intel,company
40642935,Matt Gardner,The University of Melbourne,university
2043232919,Paul Röttger,Target,company
2737827,Bertie Vidgen,EPFL,university
2022288,Dirk Hovy,The University of Manchester,university
1970864,J. Pierrehumbert,Bank of America,company
9433771,Piyawat Lertvittayakumjorn,The London School of Economics and Political Science (LSE),university
49973505,Francesca Toni,Archer Daniels Midland,company
2120801160,Wenkai Yang,FedEx,company
2149202150,Yankai Lin,Northwestern University,university
50492525,Peng Li,Home Depot,company
2108485135,Jie Zhou,Massachusetts Institute of Technology (MIT) ,university
11774802,Xu Sun,UnitedHealth Group,company
26940961,Aparna Elangovan,Centene,company
150147667,Jiayuan He,Columbia University,university
1404100607,K. Verspoor,Technical University of Munich,university
49298465,Jiwei Li,Valero Energy,company
39717886,Xinlei Chen,Université PSL,university
144547315,E. Hovy,UCL,university
1746807,Dan Jurafsky,Tsinghua University,university
35823986,Sarah Wiegreffe,Lowe's,company
3451494,Ana Marasović,Fudan University,university
144118452,Pengfei Liu,Dell Technologies,company
41037252,Jinlan Fu,University of Cambridge,university
2116642640,Yanghua Xiao,Berkshire Hathaway,company
30300197,Weizhe Yuan,Chevron,company
46923811,Shuaichen Chang,Alphabet,company
2087363104,Junqi Dai,Princeton University,university
2108176413,Yixin Liu,Cornell University,university
1796245019,Zihuiwen Ye,Centene,company
14199369,Zi-Yi Dou,Princeton University,university
1700325,Graham Neubig,University of Toronto,university
2141026590,Sushant Singh,The University of Hong Kong,university
143794144,A. Mahmood,MetLife,company
144244743,Tu Vu,Northwestern University,university
1664686681,Tong Wang,Johnson & Johnson,company
2227827,Tsendsuren Munkhdalai,McKesson,company
2041695,Alessandro Sordoni,Institut Polytechnique de Paris,university
3382568,Adam Trischler,The University of Hong Kong,university
1401265033,Andrew Mattarella-Micke,UnitedHealth Group,company
35208858,Subhransu Maji,Kyoto University,university
2136562,Mohit Iyyer,Cardinal Health,company
66395694,Zhengxiao Du,Princeton University,university
5606742,Yujie Qian,FedEx,company
2111312892,Xiao Liu,UnitedHealth Group,company
2055623340,Ming Ding,AmerisourceBergen,company
40125294,J. Qiu,Delft University of Technology,university
2109512754,Zhilin Yang,FedEx,company
2109541439,Jie Tang,Pfizer,company
120174856,Aleksandra Piktus,Northwestern University,university
40052301,F. Petroni,Fudan University,university
2067091563,Vladimir Karpukhin,Alphabet,company
113568063,Dmytro Okhonko,UPS,company
2966239,Samuel Broscheit,University of Chicago,university
1410231361,Gautier Izacard,Microsoft,company
145222654,Patrick Lewis,National University of Singapore (NUS),university
1628391446,Barlas Ouguz,Valero Energy,company
3024698,Edouard Grave,University of British Columbia,university
2072801764,Wen-tau Yih,The University of Hong Kong,university
48662861,Sebastian Riedel,The London School of Economics and Political Science (LSE),university
145009056,Pedro Rodriguez,Alphabet,company
40080808,Joe Barrow,Wells Fargo,company
49462969,Alexander Miserlis Hoyle,Centene,company
9051130,John P. Lalor,"University of California, Berkeley (UCB)",university
3422908,Robin Jia,Yale University,university
1389036863,Jordan L. Boyd-Graber,Elevance Health,company
151257231,Xiaoyi Chen,Walmart,company
66697271,A. Salem,Procter & Gamble,company
153642281,Dingfan Chen,McKesson,company
144588806,M. Backes,Comcast,company
2118869261,Shiqing Ma,Alphabet,company
40238834,Qingni Shen,IBM,company
2109716565,Zhonghai Wu,AT&T,company
2145954003,Yang Zhang,Lowe's,company
151257231,Xiaoyi Chen,Verizon Communications,company
66697271,A. Salem,JPMorgan Chase,company
144588806,M. Backes,New York University (NYU),university
2026855,Shiqing Ma,The Chinese University of Hong Kong (CUHK),university
