field_query,paperId,title,url,venue,publicationTypes,abstract,year,citationCount,journal_name,journal_volume,journal_pages
NLP,0d065e8688c38bb0148203a1738f47184a5b58d3,ChatGPT: Unlocking the Future of NLP in Finance,https://www.semanticscholar.org/paper/0d065e8688c38bb0148203a1738f47184a5b58d3,Social Science Research Network,"['JournalArticle', 'Review']","This paper reviews the current state of ChatGPT technology in finance and its potential to improve existing NLP-based financial applications. We discuss the ethical and regulatory considerations, as well as potential future research directions in the field. The literature suggests that ChatGPT has the potential to improve NLP-based financial applications, but also raises ethical and regulatory concerns that need to be addressed. The paper highlights the need for research in robustness, interpretability, and ethical considerations to ensure responsible use of ChatGPT technology in finance.",2023,34,SSRN Electronic Journal,,
NLP,d47a682723f710395454687319bb55635e653105,Language (Technology) is Power: A Critical Survey of “Bias” in NLP,https://www.semanticscholar.org/paper/d47a682723f710395454687319bb55635e653105,Annual Meeting of the Association for Computational Linguistics,"['JournalArticle', 'Conference', 'Review']","We survey 146 papers analyzing “bias” in NLP systems, finding that their motivations are often vague, inconsistent, and lacking in normative reasoning, despite the fact that analyzing “bias” is an inherently normative process. We further find that these papers’ proposed quantitative techniques for measuring or mitigating “bias” are poorly matched to their motivations and do not engage with the relevant literature outside of NLP. Based on these findings, we describe the beginnings of a path forward by proposing three recommendations that should guide work analyzing “bias” in NLP systems. These recommendations rest on a greater recognition of the relationships between language and social hierarchies, encouraging researchers and practitioners to articulate their conceptualizations of “bias”---i.e., what kinds of system behaviors are harmful, in what ways, to whom, and why, as well as the normative reasoning underlying these statements—and to center work around the lived experiences of members of communities affected by NLP systems, while interrogating and reimagining the power relations between technologists and such communities.",2020,820,ArXiv,abs/2005.14050,
NLP,c9b56cb026a38e39bb0228faac57accd6f65e6f7,"TextAttack: A Framework for Adversarial Attacks, Data Augmentation, and Adversarial Training in NLP",https://www.semanticscholar.org/paper/c9b56cb026a38e39bb0228faac57accd6f65e6f7,Conference on Empirical Methods in Natural Language Processing,"['JournalArticle', 'Conference', 'Review']","While there has been substantial research using adversarial attacks to analyze NLP models, each attack is implemented in its own code repository. It remains challenging to develop NLP attacks and utilize them to improve model performance. This paper introduces TextAttack, a Python framework for adversarial attacks, data augmentation, and adversarial training in NLP. TextAttack builds attacks from four components: a goal function, a set of constraints, a transformation, and a search method. TextAttack’s modular design enables researchers to easily construct attacks from combinations of novel and existing components. TextAttack provides implementations of 16 adversarial attacks from the literature and supports a variety of models and datasets, including BERT and other transformers, and all GLUE tasks. TextAttack also includes data augmentation and adversarial training modules for using components of adversarial attacks to improve model accuracy and robustness.TextAttack is democratizing NLP: anyone can try data augmentation and adversarial training on any model or dataset, with just a few lines of code. Code and tutorials are available at https://github.com/QData/TextAttack.",2020,511,,,119-126
NLP,0e141942fa265142f41a2a26eb17b6005d3af29e,The State and Fate of Linguistic Diversity and Inclusion in the NLP World,https://www.semanticscholar.org/paper/0e141942fa265142f41a2a26eb17b6005d3af29e,Annual Meeting of the Association for Computational Linguistics,"['JournalArticle', 'Conference']","Language technologies contribute to promoting multilingualism and linguistic diversity around the world. However, only a very small number of the over 7000 languages of the world are represented in the rapidly evolving language technologies and applications. In this paper we look at the relation between the types of languages, resources, and their representation in NLP conferences to understand the trajectory that different languages have followed over time. Our quantitative investigation underlines the disparity between languages, especially in terms of their resources, and calls into question the “language agnostic” status of current models and systems. Through this paper, we attempt to convince the ACL community to prioritise the resolution of the predicaments highlighted here, so that no language is left behind.",2020,523,,,6282-6293
NLP,579476d19566efc842929ea6bdd18ab760c8cfa2,Towards Faithfully Interpretable NLP Systems: How Should We Define and Evaluate Faithfulness?,https://www.semanticscholar.org/paper/579476d19566efc842929ea6bdd18ab760c8cfa2,Annual Meeting of the Association for Computational Linguistics,"['JournalArticle', 'Conference', 'Review']","With the growing popularity of deep-learning based NLP models, comes a need for interpretable systems. But what is interpretability, and what constitutes a high-quality interpretation? In this opinion piece we reflect on the current state of interpretability evaluation research. We call for more clearly differentiating between different desired criteria an interpretation should satisfy, and focus on the faithfulness criteria. We survey the literature with respect to faithfulness evaluation, and arrange the current approaches around three assumptions, providing an explicit form to how faithfulness is “defined” by the community. We provide concrete guidelines on how evaluation of interpretation methods should and should not be conducted. Finally, we claim that the current binary definition for faithfulness sets a potentially unrealistic bar for being considered faithful. We call for discarding the binary notion of faithfulness in favor of a more graded one, which we believe will be of greater practical utility.",2020,399,,,4198-4205
NLP,4fcfe83c05402b5c5fb6e853082e74af6379d7f9,"Missing Information, Unresponsive Authors, Experimental Flaws: The Impossibility of Assessing the Reproducibility of Previous Human Evaluations in NLP",https://www.semanticscholar.org/paper/4fcfe83c05402b5c5fb6e853082e74af6379d7f9,First Workshop on Insights from Negative Results in NLP,['JournalArticle'],"We report our efforts in identifying a set of previous human evaluations in NLP that would be suitable for a coordinated study examining what makes human evaluations in NLP more/less reproducible. We present our results and findings, which include that just 13% of papers had (i) sufficiently low barriers to reproduction, and (ii) enough obtainable information, to be considered for reproduction, and that all but one of the experiments we selected for reproduction was discovered to have flaws that made the meaningfulness of conducting a reproduction questionable. As a result, we had to change our coordinated study design from a reproduce approach to a standardise-then-reproduce-twice approach. Our overall (negative) finding that the great majority of human evaluations in NLP is not repeatable and/or not reproducible and/or too flawed to justify reproduction, paints a dire picture, but presents an opportunity for a rethink about how to design and report human evaluations in NLP.",2023,19,ArXiv,abs/2305.01633,
NLP,83cebf919635504786fc220d569284842b0f0a09,A Survey of Adversarial Defenses and Robustness in NLP,https://www.semanticscholar.org/paper/83cebf919635504786fc220d569284842b0f0a09,ACM Computing Surveys,"['JournalArticle', 'Review']","In the past few years, it has become increasingly evident that deep neural networks are not resilient enough to withstand adversarial perturbations in input data, leaving them vulnerable to attack. Various authors have proposed strong adversarial attacks for computer vision and Natural Language Processing (NLP) tasks. As a response, many defense mechanisms have also been proposed to prevent these networks from failing. The significance of defending neural networks against adversarial attacks lies in ensuring that the model’s predictions remain unchanged even if the input data is perturbed. Several methods for adversarial defense in NLP have been proposed, catering to different NLP tasks such as text classification, named entity recognition, and natural language inference. Some of these methods not only defend neural networks against adversarial attacks but also act as a regularization mechanism during training, saving the model from overfitting. This survey aims to review the various methods proposed for adversarial defenses in NLP over the past few years by introducing a novel taxonomy. The survey also highlights the fragility of advanced deep neural networks in NLP and the challenges involved in defending them.",2023,16,ACM Computing Surveys,55,1 - 39
NLP,77a096d80eb4dd4ccd103d1660c5a5498f7d026b,Dynabench: Rethinking Benchmarking in NLP,https://www.semanticscholar.org/paper/77a096d80eb4dd4ccd103d1660c5a5498f7d026b,North American Chapter of the Association for Computational Linguistics,"['JournalArticle', 'Conference']","We introduce Dynabench, an open-source platform for dynamic dataset creation and model benchmarking. Dynabench runs in a web browser and supports human-and-model-in-the-loop dataset creation: annotators seek to create examples that a target model will misclassify, but that another person will not. In this paper, we argue that Dynabench addresses a critical need in our community: contemporary models quickly achieve outstanding performance on benchmark tasks but nonetheless fail on simple challenge examples and falter in real-world scenarios. With Dynabench, dataset creation, model development, and model assessment can directly inform each other, leading to more robust and informative benchmarks. We report on four initial NLP tasks, illustrating these concepts and highlighting the promise of the platform, and address potential objections to dynamic benchmarking as a new standard for the field.",2021,255,ArXiv,abs/2104.14337,
NLP,03532123ccffae8d411264320e8a5ae2b6eddea0,Demonstrate-Search-Predict: Composing retrieval and language models for knowledge-intensive NLP,https://www.semanticscholar.org/paper/03532123ccffae8d411264320e8a5ae2b6eddea0,arXiv.org,['JournalArticle'],"Retrieval-augmented in-context learning has emerged as a powerful approach for addressing knowledge-intensive tasks using frozen language models (LM) and retrieval models (RM). Existing work has combined these in simple""retrieve-then-read""pipelines in which the RM retrieves passages that are inserted into the LM prompt. To begin to fully realize the potential of frozen LMs and RMs, we propose Demonstrate-Search-Predict (DSP), a framework that relies on passing natural language texts in sophisticated pipelines between an LM and an RM. DSP can express high-level programs that bootstrap pipeline-aware demonstrations, search for relevant passages, and generate grounded predictions, systematically breaking down problems into small transformations that the LM and RM can handle more reliably. We have written novel DSP programs for answering questions in open-domain, multi-hop, and conversational settings, establishing in early evaluations new state-of-the-art in-context learning results and delivering 37-120%, 8-39%, and 80-290% relative gains against the vanilla LM (GPT-3.5), a standard retrieve-then-read pipeline, and a contemporaneous self-ask pipeline, respectively. We release DSP at https://github.com/stanfordnlp/dsp",2022,118,ArXiv,abs/2212.14024,
NLP,087dd95e13efd47aef2a6582e6801b39fc0f83d8,ERASER: A Benchmark to Evaluate Rationalized NLP Models,https://www.semanticscholar.org/paper/087dd95e13efd47aef2a6582e6801b39fc0f83d8,Annual Meeting of the Association for Computational Linguistics,"['JournalArticle', 'Conference']","State-of-the-art models in NLP are now predominantly based on deep neural networks that are opaque in terms of how they come to make predictions. This limitation has increased interest in designing more interpretable deep models for NLP that reveal the ‘reasoning’ behind model outputs. But work in this direction has been conducted on different datasets and tasks with correspondingly unique aims and metrics; this makes it difficult to track progress. We propose the Evaluating Rationales And Simple English Reasoning (ERASER a benchmark to advance research on interpretable models in NLP. This benchmark comprises multiple datasets and tasks for which human annotations of “rationales” (supporting evidence) have been collected. We propose several metrics that aim to capture how well the rationales provided by models align with human rationales, and also how faithful these rationales are (i.e., the degree to which provided rationales influenced the corresponding predictions). Our hope is that releasing this benchmark facilitates progress on designing more interpretable NLP systems. The benchmark, code, and documentation are available at https://www.eraserbenchmark.com/",2019,456,,,4443-4458
NLP,3a7bbc46795929f0eace82b64c44c92a48682fb5,FLAIR: An Easy-to-Use Framework for State-of-the-Art NLP,https://www.semanticscholar.org/paper/3a7bbc46795929f0eace82b64c44c92a48682fb5,North American Chapter of the Association for Computational Linguistics,"['JournalArticle', 'Conference', 'Review']","We present FLAIR, an NLP framework designed to facilitate training and distribution of state-of-the-art sequence labeling, text classification and language models. The core idea of the framework is to present a simple, unified interface for conceptually very different types of word and document embeddings. This effectively hides all embedding-specific engineering complexity and allows researchers to “mix and match” various embeddings with little effort. The framework also implements standard model training and hyperparameter selection routines, as well as a data fetching module that can download publicly available NLP datasets and convert them into data structures for quick set up of experiments. Finally, FLAIR also ships with a “model zoo” of pre-trained models to allow researchers to use state-of-the-art NLP models in their applications. This paper gives an overview of the framework and its functionality. The framework is available on GitHub at https://github.com/zalandoresearch/flair .",2019,670,,,54-59
NLP,a747e8f2659df479c0092301b9658fc582423df1,"One Country, 700+ Languages: NLP Challenges for Underrepresented Languages and Dialects in Indonesia",https://www.semanticscholar.org/paper/a747e8f2659df479c0092301b9658fc582423df1,Annual Meeting of the Association for Computational Linguistics,"['JournalArticle', 'Conference', 'Review']","NLP research is impeded by a lack of resources and awareness of the challenges presented by underrepresented languages and dialects. Focusing on the languages spoken in Indonesia, the second most linguistically diverse and the fourth most populous nation of the world, we provide an overview of the current state of NLP research for Indonesia’s 700+ languages. We highlight challenges in Indonesian NLP and how these affect the performance of current NLP systems. Finally, we provide general recommendations to help develop NLP technology not only for languages of Indonesia but also other underrepresented languages.",2022,52,ArXiv,abs/2203.13357,
NLP,598231eb906b183f7a2a408ef4536127e11e3de9,Challenges and Strategies in Cross-Cultural NLP,https://www.semanticscholar.org/paper/598231eb906b183f7a2a408ef4536127e11e3de9,Annual Meeting of the Association for Computational Linguistics,"['JournalArticle', 'Conference', 'Review']","Various efforts in the Natural Language Processing (NLP) community have been made to accommodate linguistic diversity and serve speakers of many different languages. However, it is important to acknowledge that speakers and the content they produce and require, vary not just by language, but also by culture. Although language and culture are tightly linked, there are important differences. Analogous to cross-lingual and multilingual NLP, cross-cultural and multicultural NLP considers these differences in order to better serve users of NLP systems. We propose a principled framework to frame these efforts, and survey existing and potential strategies.",2022,66,ArXiv,abs/2203.10020,
NLP,ce9ca56036307217ea565644d3d3bd74b879e045,Self-Diagnosis and Self-Debiasing: A Proposal for Reducing Corpus-Based Bias in NLP,https://www.semanticscholar.org/paper/ce9ca56036307217ea565644d3d3bd74b879e045,Transactions of the Association for Computational Linguistics,['JournalArticle'],"Abstract ⚠ This paper contains prompts and model outputs that are offensive in nature. When trained on large, unfiltered crawls from the Internet, language models pick up and reproduce all kinds of undesirable biases that can be found in the data: They often generate racist, sexist, violent, or otherwise toxic language. As large models require millions of training examples to achieve good performance, it is difficult to completely prevent them from being exposed to such content. In this paper, we first demonstrate a surprising finding: Pretrained language models recognize, to a considerable degree, their undesirable biases and the toxicity of the content they produce. We refer to this capability as self-diagnosis. Based on this finding, we then propose a decoding algorithm that, given only a textual description of the undesired behavior, reduces the probability of a language model producing problematic text. We refer to this approach as self-debiasing. Self-debiasing does not rely on manually curated word lists, nor does it require any training data or changes to the model’s parameters. While we by no means eliminate the issue of language models generating biased text, we believe our approach to be an important step in this direction.1",2021,239,Transactions of the Association for Computational Linguistics,9,1408-1424
NLP,808e9ce4e86e79098edea7f00b5b91663b87a5e6,A taxonomy and review of generalization research in NLP,https://www.semanticscholar.org/paper/808e9ce4e86e79098edea7f00b5b91663b87a5e6,Nature Machine Intelligence,"['JournalArticle', 'Review']",,2022,48,Nature Machine Intelligence,5,1161 - 1174
NLP,be7cb8f79bc018e57467168fc0c7f8ad59bba04f,Adaptive Testing and Debugging of NLP Models,https://www.semanticscholar.org/paper/be7cb8f79bc018e57467168fc0c7f8ad59bba04f,Annual Meeting of the Association for Computational Linguistics,"['JournalArticle', 'Conference']","Current approaches to testing and debugging NLP models rely on highly variable human creativity and extensive labor, or only work for a very restrictive class of bugs. We present AdaTest, a process which uses large scale language models (LMs) in partnership with human feedback to automatically write unit tests highlighting bugs in a target model. Such bugs are then addressed through an iterative text-fix-retest loop, inspired by traditional software development. In experiments with expert and non-expert users and commercial / research models for 8 different tasks, AdaTest makes users 5-10x more effective at finding bugs than current approaches, and helps users effectively fix bugs without adding new bugs.",2022,53,,,3253-3267
NLP,08aaaf7ae3d61875e7bcf5c1bb0df4f17066e300,Piccolo: Exposing Complex Backdoors in NLP Transformer Models,https://www.semanticscholar.org/paper/08aaaf7ae3d61875e7bcf5c1bb0df4f17066e300,IEEE Symposium on Security and Privacy,['JournalArticle'],"Backdoors can be injected to NLP models such that they misbehave when the trigger words or sentences appear in an input sample. Detecting such backdoors given only a subject model and a small number of benign samples is very challenging because of the unique nature of NLP applications, such as the discontinuity of pipeline and the large search space. Existing techniques work well for backdoors with simple triggers such as single character/word triggers but become less effective when triggers and models become complex (e.g., transformer models). We propose a new backdoor scanning technique. It transforms a subject model to an equivalent but differentiable form. It then uses optimization to invert a distribution of words denoting their likelihood in the trigger. It leverages a novel word discriminativity analysis to determine if the subject model is particularly discriminative for the presence of likely trigger words. Our evaluation on 3839 NLP models from the TrojAI competition and existing works with 7 state-of-art complex structures such as BERT and GPT, and 17 different attack types including two latest dynamic attacks, shows that our technique is highly effective, achieving over 0.9 detection accuracy in most scenarios and substantially outperforming two state-of-the-art scanners. Our submissions to TrojAI leaderboard achieve top performance in 2 out of the 3 rounds for NLP backdoor scanning.",2022,38,2022 IEEE Symposium on Security and Privacy (SP),,2025-2042
NLP,18a1c21f35153c45d0ef30c564bffb7d70a13ccc,Universal Adversarial Triggers for Attacking and Analyzing NLP,https://www.semanticscholar.org/paper/18a1c21f35153c45d0ef30c564bffb7d70a13ccc,Conference on Empirical Methods in Natural Language Processing,"['JournalArticle', 'Conference']","Adversarial examples highlight model vulnerabilities and are useful for evaluation and interpretation. We define universal adversarial triggers: input-agnostic sequences of tokens that trigger a model to produce a specific prediction when concatenated to any input from a dataset. We propose a gradient-guided search over tokens which finds short trigger sequences (e.g., one word for classification and four words for language modeling) that successfully trigger the target prediction. For example, triggers cause SNLI entailment accuracy to drop from 89.94% to 0.55%, 72% of “why” questions in SQuAD to be answered “to kill american people”, and the GPT-2 language model to spew racist output even when conditioned on non-racial contexts. Furthermore, although the triggers are optimized using white-box access to a specific model, they transfer to other models for all tasks we consider. Finally, since triggers are input-agnostic, they provide an analysis of global model behavior. For instance, they confirm that SNLI models exploit dataset biases and help to diagnose heuristics learned by reading comprehension models.",2019,618,,,2153-2162
NLP,011095a0082e5e301f9bf30267b193c1c9e7e370,Perturbation Augmentation for Fairer NLP,https://www.semanticscholar.org/paper/011095a0082e5e301f9bf30267b193c1c9e7e370,Conference on Empirical Methods in Natural Language Processing,"['JournalArticle', 'Conference']","Unwanted and often harmful social biases are becoming ever more salient in NLP research, affecting both models and datasets. In this work, we ask whether training on demographically perturbed data leads to fairer language models. We collect a large dataset of human annotated text perturbations and train a neural perturbation model, which we show outperforms heuristic alternatives. We find that (i) language models (LMs) pre-trained on demographically perturbed corpora are typically more fair, and (ii) LMs finetuned on perturbed GLUE datasets exhibit less demographic bias on downstream tasks, and (iii) fairness improvements do not come at the expense of performance on downstream tasks. Lastly, we discuss outstanding questions about how best to evaluate the (un)fairness of large language models. We hope that this exploration of neural demographic perturbation will help drive more improvement towards fairer NLP.",2022,33,,,9496-9521
NLP,d235a9085e0543fcbe502fbc269f9a8ee01dcbab,AdaPrompt: Adaptive Model Training for Prompt-based NLP,https://www.semanticscholar.org/paper/d235a9085e0543fcbe502fbc269f9a8ee01dcbab,Conference on Empirical Methods in Natural Language Processing,"['JournalArticle', 'Conference']","Prompt-based learning, with its capability to tackle zero-shot and few-shot NLP tasks, has gained much attention in community. The main idea is to bridge the gap between NLP downstream tasks and language modeling (LM), by mapping these tasks into natural language prompts, which are then filled by pre-trained language models (PLMs). However, for prompt learning, there are still two salient gaps between NLP tasks and pretraining. First, prompt information is not necessarily sufficiently present during LM pretraining. Second, task-specific data are not necessarily well represented during pretraining. We address these two issues by proposing AdaPrompt, adaptively retrieving external data for continual pretraining of PLMs by making use of both task and prompt characteristics. In addition, we make use of knowledge in Natural Language Inference models for deriving adaptive verbalizers. Experimental results on five NLP benchmarks show that AdaPrompt can improve over standard PLMs in few-shot settings. In addition, in zero-shot settings, our method outperforms standard prompt-based methods by up to 26.35\% relative error reduction.",2022,32,ArXiv,abs/2202.04824,
